distance_m,synthterrain_height_m,estimated_q10_m,estimated_q50_m,estimated_q90_m
3.1999999999999993,0.03120561069109936,0.014406657523240994,0.017542438546630366,0.019620961634564428
3.2499999999999996,0.031104320887935,0.015560012324402826,0.01837580441975041,0.02025200722942266
3.3,0.030841986681140132,0.016259598302936593,0.01881583895770885,0.020525770668916987
3.3499999999999996,0.03037230903462803,0.016959182622740324,0.019255871836937253,0.02079953244968128
3.3999999999999995,0.029777333261518518,0.017465521576290402,0.01952858530032097,0.020921702892769643
3.4499999999999997,0.0290175624604131,0.017778613504856797,0.019633976030399923,0.020892280339452042
3.5,0.02816692012154539,0.01809170543342319,0.019739368419208914,0.020862859444864473
3.55,0.02719186252144495,0.018086356029068176,0.019570043598754853,0.020585692291343327
3.5999999999999996,0.026157837803573246,0.018081006624713163,0.019400720437030824,0.020308526796552217
3.65,0.02503641474112333,0.017949323364888053,0.019123190021632548,0.01993451966626998
3.7,0.023884479094323584,0.017691304590862815,0.01873745401129006,0.019463672559226652
3.75,0.02267791257354497,0.01743328581683758,0.01835171800094757,0.018992825452183327
