normalized_radius,true_elevation_m,estimated_elevation_m
0.70750000,-0.1090484123,-0.1099389430
0.71000000,-0.1054020493,-0.1062396400
0.71250000,-0.1017556863,-0.1025403370
0.71500000,-0.0981093233,-0.0988410341
0.71750000,-0.0944629603,-0.0951417311
0.72000000,-0.0908165972,-0.0914424281
0.72250000,-0.0871702342,-0.0877431252
0.72500000,-0.0835238712,-0.0840438222
0.72750000,-0.0798775082,-0.0803445193
0.73000000,-0.0763323376,-0.0767199481
0.73250000,-0.0729013919,-0.0731797332
0.73500000,-0.0694704462,-0.0696395183
0.73750000,-0.0660395006,-0.0660993034
0.74000000,-0.0626085549,-0.0625590885
0.74250000,-0.0591776092,-0.0590188737
0.74500000,-0.0557466635,-0.0554786588
0.74750000,-0.0523157178,-0.0519384439
0.75000000,-0.0488847721,-0.0483982290
0.75250000,-0.0454538264,-0.0448580141
0.75500000,-0.0420228807,-0.0413177993
0.75750000,-0.0385919350,-0.0377775844
0.76000000,-0.0351609893,-0.0342373695
0.76250000,-0.0317300436,-0.0306971546
0.76500000,-0.0282990979,-0.0271569397
0.76750000,-0.0248681522,-0.0236167249
0.77000000,-0.0214372065,-0.0200765100
0.77250000,-0.0180062608,-0.0165362951
0.77500000,-0.0146780404,-0.0131201723
0.77750000,-0.0116594631,-0.0100780985
0.78000000,-0.0086408859,-0.0070360247
0.78250000,-0.0056223087,-0.0039939509
0.78500000,-0.0026037314,-0.0009518772
0.78750000,0.0004148458,0.0020901966
0.79000000,0.0034334231,0.0051322704
0.79250000,0.0064520003,0.0081743442
0.79500000,0.0094705776,0.0112164180
0.79750000,0.0124891548,0.0142584918
0.80000000,0.0155077320,0.0173005656
0.80250000,0.0185263093,0.0203426393
0.80500000,0.0215448865,0.0233847131
0.80750000,0.0245634638,0.0264267869
0.81000000,0.0275820410,0.0294688607
0.81250000,0.0306006182,0.0325109345
0.81500000,0.0336191955,0.0355530083
0.81750000,0.0366377727,0.0385950820
0.82000000,0.0396363984,0.0416191074
0.82250000,0.0419541783,0.0440272312
0.82500000,0.0442719582,0.0464353550
0.82750000,0.0465897381,0.0488434789
0.83000000,0.0489075180,0.0512516027
0.83250000,0.0512252978,0.0536597265
0.83500000,0.0535430777,0.0560678503
0.83750000,0.0558608576,0.0584759741
0.84000000,0.0581786375,0.0608840979
0.84250000,0.0604964174,0.0632922217
0.84500000,0.0628141972,0.0657003455
0.84750000,0.0651319771,0.0681084693
0.85000000,0.0674497570,0.0705165931
0.85250000,0.0697675369,0.0729247169
0.85500000,0.0720853168,0.0753328407
0.85750000,0.0744030966,0.0777409645
0.86000000,0.0767208765,0.0801490883
0.86250000,0.0790386564,0.0825572121
0.86500000,0.0813564363,0.0849653359
0.86750000,0.0830958898,0.0866893996
0.87000000,0.0846977679,0.0882507353
0.87250000,0.0862996460,0.0898120710
0.87500000,0.0879015240,0.0913734067
0.87750000,0.0895034021,0.0929347424
0.88000000,0.0911052802,0.0944960780
0.88250000,0.0927071583,0.0960574137
0.88500000,0.0943090363,0.0976187494
0.88750000,0.0959109144,0.0991800851
0.89000000,0.0975127925,0.1007414208
0.89250000,0.0991146706,0.1023027565
0.89500000,0.1007165487,0.1038640922
0.89750000,0.1023184267,0.1054254279
0.90000000,0.1039203048,0.1069867636
0.90250000,0.1055221829,0.1085480992
0.90500000,0.1071240610,0.1101094349
0.90750000,0.1087259390,0.1116707706
0.91000000,0.1103278171,0.1132321063
0.91250000,0.1114450012,0.1143541847
0.91500000,0.1122214308,0.1151674519
0.91750000,0.1129978604,0.1159807190
0.92000000,0.1137742899,0.1167939862
0.92250000,0.1145507195,0.1176072534
0.92500000,0.1153271491,0.1184205205
0.92750000,0.1161035786,0.1192337877
0.93000000,0.1168800082,0.1200470549
0.93250000,0.1176564378,0.1208603220
0.93500000,0.1184328673,0.1216735892
0.93750000,0.1192092969,0.1224868564
0.94000000,0.1199857265,0.1233001236
0.94250000,0.1207621560,0.1241133907
0.94500000,0.1215385856,0.1249266579
0.94750000,0.1223150152,0.1257399251
0.95000000,0.1230914447,0.1265531922
0.95250000,0.1238678743,0.1273664594
0.95500000,0.1246443039,0.1281797266
0.95750000,0.1251885939,0.1287180827
0.96000000,0.1253317108,0.1287813499
0.96250000,0.1254748276,0.1288446171
0.96500000,0.1256179445,0.1289078843
0.96750000,0.1257610613,0.1289711514
0.97000000,0.1259041782,0.1290344186
0.97250000,0.1260472950,0.1290976858
0.97500000,0.1261904119,0.1291609530
0.97750000,0.1263335287,0.1292242201
0.98000000,0.1264766456,0.1292874873
0.98250000,0.1266197624,0.1293507545
0.98500000,0.1267628793,0.1294140217
